iter	Logloss
0	0.691247104
1	0.6894400228
2	0.6879300005
3	0.6861528698
4	0.6842521367
5	0.6826382641
6	0.6808026854
7	0.6794047622
8	0.6777614493
9	0.6766872738
10	0.6753133436
11	0.6746386496
12	0.6740286856
13	0.6727337047
14	0.6719664897
15	0.6708098672
16	0.6698543013
17	0.6687363348
18	0.6676302605
19	0.6666603908
20	0.6655183381
21	0.6643050067
22	0.6634605385
23	0.6625590044
24	0.6624217965
25	0.6621295209
26	0.6613285647
27	0.660701746
28	0.6602357585
29	0.6595704451
30	0.6589993461
31	0.6582151384
32	0.6575936564
33	0.6570802268
34	0.6564989764
35	0.6559645464
36	0.6551640363
37	0.6546256153
38	0.6540247228
39	0.6532572766
40	0.6525907351
41	0.6523924927
42	0.6519859322
43	0.651334128
44	0.651117403
45	0.6508022177
46	0.6501290662
47	0.6498956895
48	0.6494887849
49	0.6489483241
50	0.6484330481
51	0.648218838
52	0.6477065761
53	0.647430236
54	0.6470757279
55	0.6464963837
56	0.6462075623
57	0.6459123511
58	0.6455929969
59	0.6451397941
60	0.6446009457
61	0.6440590558
62	0.6437415758
63	0.6432967927
64	0.6429995609
65	0.6425409031
66	0.6421688303
67	0.6418766574
68	0.6415321089
69	0.6412312436
70	0.6410055946
71	0.6405409571
72	0.6404340107
73	0.6403236612
74	0.640260469
75	0.6400057627
76	0.6394268502
77	0.6391250544
78	0.6386326216
79	0.6383784858
80	0.6379410049
81	0.6378334619
82	0.6377049695
83	0.63729059
84	0.6368714023
85	0.6366859615
86	0.6364785715
87	0.6361937592
88	0.6360618538
89	0.6358384213
90	0.6356141428
91	0.6354246457
92	0.6350249562
93	0.6347920036
94	0.6344285359
95	0.6340770674
96	0.6339076556
97	0.6336079127
98	0.633484936
99	0.6334315379
100	0.6333167962
101	0.6331680953
102	0.6326870661
103	0.6325354533
104	0.6323672076
105	0.6319306105
106	0.6317818672
107	0.6313857367
108	0.6309417221
109	0.6308598665
110	0.63052904
111	0.6304054115
112	0.6299861749
113	0.6299680143
114	0.6295473969
115	0.6294761336
116	0.6288630068
117	0.6287540735
118	0.628565785
119	0.6283198237
120	0.628225805
121	0.6278506908
122	0.6275008266
123	0.6272822507
124	0.6270891468
125	0.6269970753
126	0.6267479422
127	0.626617535
128	0.6264937872
129	0.626324556
130	0.6262179351
